(L)Date&Time,,OC(ng/m3),Py C(ng/m3),EC(ng/m3),Li / 7,Mg / 25,S / 34,K / 39,V / 51,As / 75,Se / 77,Br / 79,Rb / 85,Mo / 95,Sn / 118,Sb / 121,Pb / 208
2015-10-24,6,198.5971932,74.85456484,50.77920928,0.000332286,0.0496926705,3.491871339,0.2926725665,0.000734826,0.001189211,0.0016815,0.056731573,0.002079469,0.004448127,0.0046969335,0.009913345,0.081386895
2015-10-27,2,170.4416785,71.22671044,51.93908663,0.000332286,0.136679804,1.264717694,0.2926725665,0.000734826,0.004225748,0.003643839,0.018141176,0.001375328,0.008675001,0.01037413,0.0005038675,0.056221013
2015-11-17,2,294.67065,139.3429365,27.50885426,0.000332286,0.0496926705,1.264717694,0.588569958,0.000734826,0.007271895,0.0016815,0.032332558,0.002826871,0.045500393,0.0046969335,0.0005038675,0.103706869
2015-11-20,5,307.7865972,143.2575133,27.88208125,0.000332286,0.165958885,2.823187359,1.149071268,0.000734826,0.010917563,0.016485529,0.091014291,0.003597389,0.180427531,0.044875265,0.025379824,0.144403944
2015-11-23,,90.34702956,37.66960003,14.77543739,0,0,0,0.314871158,0,0.009337035,0.002461461,0.030145452,0.002462953,0,0,0,0.11355201
2015-11-26,,254.3455984,106.8805283,4.560418316,0.005397588,0,15.79133889,9.003335738,0.002769988,0.027558406,0.011016326,0.100222464,0.014712263,0.021114875,0.007670432,0.023266177,0.232848368
2015-11-29,,269.6267784,125.7207949,16.75330786,0,0,0,0.326939227,0,0.008950991,0,0.031294964,0.002349746,0,0.048796837,0,0.150845496
2015-12-02,3,279.1420168,135.3268718,36.28564652,0.001312321,0.0496926705,1.264717694,3.055618659,0.001740534,0.020345137,0.007122189,0.088161939,0.005316512,0.037377955,0.175115053,0.04077702,0.096036578
2015-12-05,6,261.8380441,98.30777687,70.12753658,0.000332286,0.0496926705,1.264717694,0.2926725665,0.006368595,0.006461354,0.006595933,0.028928343,0.001058118,0.008710854,0.0046969335,0.010308762,0.0270326145
2015-12-11,5,94.00080792,35.51908178,26.48393184,0.000332286,0.0496926705,1.264717694,0.702142574,0.000734826,0.015044631,0.011447995,0.067671405,0.001392079,0.005548534,0.047591595,0.017792029,0.0270326145
2015-12-14,1,184.9280567,74.00983302,54.55594002,0.000698397,0.0496926705,5.684904558,2.277356914,0.001760843,0.0472724,0.009581656,0.063870141,0.003795496,0.006767487,0.010674503,0.01979632,0.100280206
2015-12-17,4,197.4994454,77.3868467,12.65544035,0.001840404,0.0496926705,1.264717694,1.649094018,0.000734826,0.024500996,0.007855936,0.092406882,0.002784381,0.01610097,0.0046969335,0.104079293,0.167515193
2015-12-20,7,60.87589291,14.49381383,18.54630857,0.001670959,0.161213956,21.88207145,3.039773501,0.02684773,0.028174263,0.029186918,0.191415161,0.003645322,0.064238819,0.080368616,0.069090271,0.398334541
2015-12-23,,258.4038151,91.85732186,8.549483655,0.000666156,0.226646896,0,1.599353949,0.001584482,0.021466122,0.010175721,0.08231022,0.002484496,0,0.045896766,0.037798448,0.046438472
2015-12-26,,242.1615961,109.5469439,14.61973945,0.001669577,0,39.98343491,7.575991861,0,0,0,0.112120517,0.011031049,0.031790373,0.006179477,0.027817955,0.115184033
2016-01-01,,166.3651748,77.31071163,10.36238273,0.000522978,0,5.566750946,3.267964284,0,0.018599297,0.008599126,0.094445505,0.005191583,0,0.073643064,0.014436483,0.159751389
2016-01-04,1,116.4024262,51.41744433,32.93012124,0.000332286,0.0496926705,1.264717694,0.2926725665,0.004827236,0.008638416,0.0016815,0.043410684,0.0002219795,0.006374922,0.0046969335,0.0191601,0.0270326145
