(L)Date&Time,,OC(ng/m3),Py C(ng/m3),EC(ng/m3),Li / 7,Mg / 25,S / 34,K / 39,V / 51,As / 75,Se / 77,Br / 79,Rb / 85,Mo / 95,Sn / 118,Sb / 121,Pb / 208
2016-01-31,7,165.024963,85.23172591,17.29424808,0.000665584,0.0496926705,3.93356554,0.802096705,0.000734826,0.003608356,0.0016815,0.044505995,0.00201909,0.0012818915,0.0504012,0.008210739,0.0270326145
2016-02-03,3,167.3019806,90.70039925,11.10142099,0.000332286,0.0496926705,1.264717694,0.704460573,0.000734826,0.012114893,0.0016815,0.042417255,0.00149953,0.0012818915,0.035891533,0.014005956,0.289322879
2016-02-06,6,140.2497548,71.38240586,17.43981971,0.001155561,0.0496926705,6.139492981,0.718987767,0.000734826,0.01755631,0.005123715,0.072509932,0.001787688,0.0012818915,0.066347977,0.017846039,0.0270326145
2016-02-12,5,98.45532809,42.37712965,29.90566162,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.012971966,0.0016815,0.022044572,0.000604744,0.002568574,0.04908909,0.006728653,0.0270326145
2016-02-15,,82.51891825,31.02151821,35.16379508,0.000938435,0.017710364,0,0.133268888,0.001029787,0.025485081,0.006869825,0.099746495,0.000503842,0,0.002354141,0.023882455,0.04706796
2016-02-18,4,140.56566,70.42711824,3.12,0.000332286,0.0496926705,10.81494318,1.994972729,0.000734826,0.024270555,0.005070105,0.117645522,0.003669713,0.0012818915,0.046825849,0.030571494,0.0270326145
2016-02-21,7,100.5186507,39.63993539,32.60468906,0.000332286,0.0496926705,17.83222117,0.2926725665,0.000734826,0.013512188,0.0016815,0.067035725,0.000783511,0.0012818915,0.054544481,0.017182276,0.0270326145
2016-02-24,3,92.2734458,33.96430279,40.33887113,0.00071787,0.0496926705,14.31409805,0.2926725665,0.000734826,0.03254135,0.008104719,0.171400763,0.001508956,0.008155629,0.05919237,0.019937578,0.0270326145
2016-04-03,7,100.9462591,28.22432044,34.46171274,0.001010551,0.958303168,22.1730779,0.940078533,0.001615564,0.025607478,0.034848815,0.212361809,0.001470956,0.0012818915,0.038220621,0.018660721,0.09174982
2016-04-06,3,139.3836705,36.25054241,47.18928043,0.000733162,0.169163609,12.18733426,1.582660746,0.000734826,0.015974712,0.025209517,0.164594071,0.00223181,0.0012818915,0.115085642,0.019584729,0.084054983
2016-04-15,5,187.2412712,56.79564935,42.67771918,0.002721566,0.458594442,17.5335734,2.652974241,0.001952379,0.045186779,0.031272414,0.24969974,0.004046569,0.0012818915,0.026242168,0.032283283,0.099189076
2016-04-18,1,115.3029347,30.74931687,38.34821698,0.001652599,0.262772079,21.54529319,0.2926725665,0.000734826,0.078643417,0.050084364,0.175850918,0.001191971,0.0012818915,0.056331266,0.025518126,0.062081603
2016-06-05,7,108.4869362,22.22634317,39.60061994,0.001820692,0.781170706,23.23411637,2.136962065,0.005830548,0.028646273,0.036016716,0.249004804,0.004002516,0.00272574,0.215012882,0.014994054,0.136201917
2016-06-08,3,87.58590814,23.05402118,34.24424894,0.00230576,1.123916819,29.29890808,3.880397031,0.012659431,0.030700163,0.026925526,0.381470429,0.007704403,0.003703493,0.036810133,0.028997708,0.122753215
2016-06-11,6,78.53399698,20.49433296,23.80111149,0.001083448,0.773855967,35.57095754,2.884256334,0.007077808,0.035170201,0.051990459,0.322227922,0.00469366,0.0012818915,0.454881543,0.02057334,0.117897481
2016-06-14,2,68.51223709,17.921274,27.77643069,0.000332286,0.515458567,19.16978398,2.285171297,0.002604854,0.019020114,0.021871913,0.211793696,0.003124936,0.0012818915,0.180049431,0.013875201,0.130477463
2016-06-20,1,107.3289593,28.57668301,38.80250001,0.001043711,0.668118304,31.44273438,2.115148621,0.003594399,0.023724428,0.021394349,0.277146103,0.003909619,0.0012818915,0.069779044,0.015635481,0.078840513
2016-06-26,7,195.4536585,77.17915183,61.45115489,0.000332286,0.279956979,9.215644694,0.2926725665,0.000734826,0.010474378,0.007375926,0.120142949,0.001188967,0.0012818915,0.083586644,0.005447802,0.0270326145
2016-07-05,2,57.63094287,14.77320367,15.00684186,0.000332286,0.150764842,6.199332941,1.034192912,0.000734826,0.0143718,0.011092352,0.155028428,0.00174353,0.0012818915,0.196019202,0.008641328,0.0270326145
2016-07-08,5,86.49007386,30.84581951,3.12,0.000332286,0.139852266,11.934112,18.26332919,0.000734826,0.017536607,0.007935715,0.194947799,0.016139701,0.0012818915,0.078025796,0.011607443,0.0270326145
2016-07-14,4,140.8128622,23.25209337,70.52135302,0.002071869,0.364546517,39.78998426,3.141837214,0.00384211,0.033025104,0.033256068,0.561974465,0.005336675,0.00451522,0.270662549,0.021512899,0.169312216
2016-07-17,7,100.1896466,23.53995291,36.33290583,0.000332286,0.144544845,19.189098,1.298034487,0.000734826,0.015231056,0.01612029,0.268717012,0.002333634,0.004441961,0.05018677,0.012720885,0.0270326145
2016-07-26,2,171.0245438,53.99857678,57.86265686,0.001366863,0.373142405,25.9719338,4.198205292,0.004114043,0.0316361,0.027579966,0.469183551,0.005228443,0.0012818915,0.128740033,0.020395912,0.067763277
2016-07-29,5,139.3266368,43.0679064,44.23836076,0.001577352,0.512181453,31.30915754,6.726485425,0.005449647,0.058508218,0.043346875,0.727261548,0.007177947,0.00313821,0.257974429,0.041375389,0.212193443
