(L)Date&Time,,OC(ng/m3),Py C(ng/m3),EC(ng/m3),Li / 7,Mg / 25,S / 34,K / 39,V / 51,As / 75,Se / 77,Br / 79,Rb / 85,Mo / 95,Sn / 118,Sb / 121,Pb / 208
blank DL,,24.39,4.977,6.24,0.000664572,0.099385341,2.529435388,0.585345133,0.001469652,0.002378422,0.003363,0.00500208,0.000443959,0.002563783,0.009393867,0.001007735,0.054065229
instru DL,,1,,,,,,,,,,,,,,,
2015-08-02,7,75.74078661,26.40459416,40.45412951,0.000811252,0.495949058,1.264717694,0.2926725665,0.032166731,0.014352805,0.074948048,0.132394401,0.0002219795,0.054192974,0.180581514,0.078142244,0.0270326145
2015-08-07,5,47.50674083,11.72195002,21.44799791,0.000332286,0.206856151,1.264717694,0.2926725665,0.003060484,0.001189211,0.0016815,0.086446876,0.0002219795,0.002906604,0.034683847,0.005169668,0.0270326145
2015-08-10,1,122.5240341,41.37350603,63.14901433,0.002434419,0.389171002,1.264717694,0.721420739,0.0412535,0.016181405,0.024602124,0.188333877,0.000761763,0.030687679,0.050633861,0.167005722,0.077279659
2015-08-13,4,117.3912638,35.575773,49.80526705,0.000775274,0.555949038,1.264717694,0.2926725665,0.011646709,0.029651976,0.020907267,0.145004052,0.000667785,0.007624161,0.104879227,0.099142312,0.0270326145
2015-08-16,7,82.29875773,38.06563121,22.56690642,0.000786566,0.405949184,4.564793659,0.833922089,0.028279774,0.005291146,0.063975579,0.159144381,0.000977887,0.043362581,0.144605134,0.016901069,0.061631942
2015-08-19,3,39.25757805,10.87795053,30.74470485,0.000332286,0.31585935,1.264717694,0.795278531,0.013743458,0.004063891,0.032295486,0.128864118,0.000905605,0.02818742,0.135629121,0.020299241,0.074862206
2015-08-22,6,87.0882921,29.28031384,41.89337219,0.001213301,0.441410969,1.264717694,1.551133235,0.061845813,0.007841515,0.063976751,0.274092971,0.00160863,0.043797707,0.112666033,0.017350592,0.082342773
2015-08-25,2,135.6825776,40.1606613,69.15855511,0.001753579,0.284608817,1.264717694,1.055019346,0.027274375,0.021704709,0.039876584,0.274036168,0.001128125,0.025160833,0.084840406,0.042493626,0.079700953
2015-08-28,5,75.14068165,25.52299106,27.4985533,0.000332286,0.282693071,1.264717694,1.298450061,0.060446343,0.011152844,0.073508633,0.169472142,0.001232634,0.026109702,0.190224825,0.030724588,0.055099616
2015-08-31,1,25.63993584,6.420414714,25.68165885,0.000332286,0.326950265,1.264717694,0.2926725665,0.036890524,0.001189211,0.0016815,0.053463941,0.0002219795,0.027056057,0.015887718,0.005219259,0.0270326145
2015-09-03,4,79.12622675,23.96135472,27.90901481,0.00071288,0.260738579,1.264717694,1.553354224,0.010124142,0.012206628,0.019749528,0.202035789,0.001862232,0.012822467,0.090284945,0.04990117,0.060141964
2015-09-06,,109.0806252,32.72443016,60.52486517,0.00155357,0.151107238,0,0.640622982,0.006324246,0.012430287,0.001337252,0.172661429,0.00117207,0.005573358,0.02087129,0.028435337,0.059957785
2015-09-09,3,161.8016513,53.11773195,86.89338414,0.002222014,0.332538942,7.124677458,0.819242278,0.030193504,0.024765568,0.094808361,0.232640493,0.001151685,0.016175722,0.165265614,0.046745315,0.084050559
2015-09-15,2,28.30621073,8.607178183,25.05116048,0.000915354,0.164659284,1.264717694,0.2926725665,0.006877058,0.019471426,0.035119119,0.122037195,0.0002219795,0.004089151,0.03333884,0.047133762,0.0270326145
2015-09-18,5,75.74782212,14.7331106,62.41906777,0.001532292,0.411801593,1.264717694,1.229894552,0.018074399,0.034646352,0.022074177,0.254406542,0.001298876,0.032385556,0.046654442,0.081444212,0.106532158
2015-09-24,4,79.20415112,18.79964173,73.91679358,0.001297425,0.250073249,1.264717694,0.971968812,0.011108851,0.030862557,0.031097005,0.21190571,0.001195759,0.022909966,0.122849053,0.084294383,0.113564726
2015-09-27,7,121.3096076,39.2092465,69.124445,0.00129648,0.258249508,1.264717694,0.599060943,0.018452591,0.031013093,0.067085106,0.198723402,0.00077863,0.016371625,0.152040448,0.111225825,0.102266377
2015-09-30,3,94.16456809,22.80891895,65.99642541,0.001153716,0.0496926705,25.11700202,0.2926725665,0.01674007,0.01660597,0.019690119,0.136371026,0.000898554,0.036956606,0.098276675,0.169209374,0.068498233
2015-10-06,2,135.0210453,43.81083079,88.78690745,0.001716048,0.205193457,1.264717694,1.186961616,0.019013428,0.033038535,0.039393541,0.130392287,0.00117373,0.031710016,0.072760394,0.174447041,0.099913201
2015-10-09,5,270.4370498,106.7886007,60.66979673,0.003073801,0.141817001,1.264717694,1.769998502,0.016528979,0.036528029,0.171489876,0.207991237,0.001962486,0.032071073,0.165519026,0.123876583,0.139242504
2015-10-12,1,69.18004981,25.10116114,37.03749051,0.00097588,0.114247917,1.264717694,0.2926725665,0.032723528,0.010328719,0.004085862,0.0879936,0.000553608,0.035854539,0.018712475,0.048225052,0.073474622
2015-10-15,4,31.88873742,8.389669246,29.0167878,0.000332286,0.134164208,1.264717694,0.848901863,0.000734826,0.001189211,0.0016815,0.051855034,0.000596596,0.0012818915,0.0046969335,0.014010016,0.0270326145
2015-10-24,6,176.2770001,50.32414824,70.21058259,0.00143892,0.0496926705,1.264717694,0.901676369,0.005506086,0.032493761,0.039042092,0.204199791,0.001489828,0.016618056,0.060958512,0.109931533,0.121964658
2015-10-27,2,99.69840524,27.7872034,73.92416874,0.000948029,0.124279558,24.27160084,0.2926725665,0.007846977,0.023605794,0.059067034,0.113296885,0.000729783,0.012476152,0.099168029,0.177580771,0.078456965
2015-11-05,4,210.7032674,57.18265704,62.87278555,0.000702436,0.14306019,1.264717694,1.512101746,0.00363267,0.012715524,0.029767441,0.072344504,0.001677321,0.005008502,0.054614227,0.039265542,0.0270326145
2015-11-11,3,183.3872131,64.89633645,63.38675401,0.0006773,0.0496926705,1.264717694,1.024007944,0.001503402,0.021286622,0.015741464,0.068488692,0.001933507,0.007387382,0.024711181,0.048475711,0.059053914
2015-11-17,2,217.0687081,68.59852831,112.4469967,0.003218537,0.265594272,1.264717694,2.437840867,0.007228287,0.050512574,0.099292564,0.162182436,0.003254495,0.017338379,0.114686619,0.071269176,0.186846471
2015-11-23,1,97.38449792,32.06676015,42.31887514,0.001832149,0.105002024,6.52671293,1.2858692,0.006666356,0.024469412,0.031709833,0.105348094,0.001688369,0.011177997,0.032534994,0.086237757,0.08434082
2015-11-26,,257.030177,122.7211255,9.939811015,0.0005571,0.068336948,0,3.335545524,7.08988E-05,0.023458721,0.081164958,0.102147665,0.003657873,0.001628805,0.047991171,0.040854777,0.123096092
2015-11-29,,135.1877558,31.80962499,44.77041164,0.001910509,0.311698106,0,5.117352679,0.001710488,0.040817059,0.038258489,0.122474823,0.005359998,0.008784765,0.044221659,0.048615065,0.151407459
2015-12-02,3,239.4478003,92.36405317,67.47381671,0.002119274,0.0496926705,1.264717694,0.963227216,0.006387054,0.036127564,0.043088242,0.17945528,0.002727583,0.015817685,0.062752791,0.088982253,0.0270326145
2015-12-05,6,193.7179388,65.19736743,67.36663431,0.002975405,0.0496926705,8.580320196,1.956775474,0.000734826,0.028493413,0.02888373,0.234000125,0.004548345,0.021070903,0.047903136,0.089934039,0.0270326145
2015-12-08,2,278.8787916,110.396266,86.75733188,0.002766031,0.0496926705,3.572991061,0.2926725665,0.018104499,0.011834126,0.06886788,0.158599704,0.001252725,0.036134422,0.132837881,0.064765302,0.0270326145
2015-12-11,5,71.95199326,31.80740204,9.841891236,0.000332286,0.0496926705,1.264717694,1.910609407,0.000734826,0.019021514,0.053995173,0.1535523,0.003076125,0.00374381,0.073390312,0.048977221,0.0270326145
2015-12-14,1,249.2682599,100.7655227,64.58901394,0.001348175,0.0496926705,1.264717694,0.939693447,0.000734826,0.016447445,0.047892599,0.153474906,0.002353943,0.015475641,0.039989762,0.041425766,0.0270326145
2015-12-17,4,313.4398981,140.3434834,12.83532232,0.000332286,0.0496926705,1.264717694,1.910609407,0.000734826,0.019021514,0.053995173,0.1535523,0.003076125,0.00374381,0.073390312,0.048977221,0.0270326145
2015-12-20,,487.3931411,212.6822358,14.08148628,0.001348175,0,0,0.939693447,0.000279775,0.016447445,0.047892599,0.153474906,0.002353943,0.015475641,0.039989762,0.041425766,0
2016-01-04,1,100.5603768,31.59581749,42.13533075,0.002175269,0.0496926705,4.237464851,0.2926725665,0.01284003,0.01559864,0.025761188,0.097808785,0.001185444,0.019134127,0.060963569,0.179367921,0.0270326145
2016-01-07,4,133.1168475,44.4624163,41.5446,0.00090151,0.0496926705,2.605345229,0.2926725665,0.021881892,0.016762231,0.040944752,0.11622067,0.001148706,0.017848221,0.25753236,0.092519815,0.0270326145
2016-01-10,7,206.986867,75.33098013,69.84478445,0.002292051,0.0496926705,1.264717694,1.572427766,0.004322548,0.029157455,0.03568442,0.239119584,0.004022169,0.021811194,0.131149048,0.072039673,0.0270326145
2016-01-13,3,157.9338176,46.75069494,73.87715211,0.001350771,0.0496926705,1.264717694,0.2926725665,0.007632749,0.020538016,0.030132858,0.141836155,0.000957197,0.024615652,0.23235757,0.116129868,0.0270326145
2016-01-16,6,84.72450543,28.50191929,42.55157593,0.000332286,0.0496926705,1.264717694,0.922796534,0.006627523,0.020688287,0.03524678,0.139965213,0.002305445,0.01092674,0.223514637,0.054272148,0.0270326145
2016-01-19,,136.4617728,42.729686,73.5121303,0.001943356,0,0,0.427955343,0.019213869,0.025334679,0.052580826,0.10654539,0.001392683,0.035015874,0.241334815,0.148924868,0.019208651
2016-01-22,5,102.3513272,32.80586258,44.19615369,0.000770618,0.0496926705,1.264717694,1.056810469,0.007393636,0.027921347,0.043230439,0.238289964,0.00247027,0.013315768,0.219150451,0.174238188,0.225986186
2016-01-25,1,169.1851549,56.03305429,70.34493662,0.002401332,0.0496926705,1.264717694,1.086613925,0.003654297,0.034412426,0.018173231,0.15423227,0.003129706,0.012517695,0.027573324,0.08013082,0.0270326145
2016-01-25,1,169.1851549,56.03305429,70.34493662,0.002401332,0.0496926705,1.264717694,1.086613925,0.003654297,0.034412426,0.018173231,0.15423227,0.003129706,0.012517695,0.027573324,0.08013082,0.0270326145
2016-01-31,7,132.8992803,49.22612307,55.83339129,0.001235563,0.0496926705,3.021668657,0.2926725665,0.000734826,0.014827494,0.008873618,0.135410913,0.001103279,0.006553642,0.014908931,0.051968712,0.0270326145
2016-02-03,3,142.8964041,48.15810799,61.92090496,0.001669837,0.0496926705,1.264717694,0.987139238,0.002484203,0.022778421,0.009413515,0.171735515,0.002327697,0.013642483,0.0046969335,0.066588992,0.0270326145
2016-02-06,6,308.6414359,129.837959,51.51290726,0.002220003,0.103904789,1.264717694,2.548012821,0.004901826,0.028272547,0.111491513,0.203231026,0.005044932,0.019927449,0.217492531,0.114276221,0.0270326145
2016-02-09,2,174.1221439,57.2122062,58.86715284,0.005515273,0.0496926705,1.264717694,3.55884036,0.004873019,0.043288137,0.058682192,0.288801671,0.005275473,0.027730547,0.19731022,0.116296911,0.078393599
2016-02-12,5,471.7029776,174.133983,120.5867451,0.001783762,0.0496926705,5.356296251,2.366612413,0.000734826,0.022634129,0.057906984,0.231595269,0.005598792,0.020969033,0.128359838,0.100937516,0.127486657
2016-02-15,,156.9348233,54.4728202,56.49293421,0.002172944,0.237687197,0,0.813984715,0.022341368,0.027525213,0.077698523,0.240112555,0.001694625,0.02820062,0.121456884,0.09500359,0.02330541
2016-02-18,4,308.4110107,137.3249574,27.82781043,0.000921217,0.0496926705,1.264717694,1.117809651,0.010721425,0.031971564,0.036601068,0.271858696,0.002324881,0.01138883,0.025990346,0.091801656,0.0270326145
2016-02-21,7,151.4851638,56.20641902,70.77415141,0.003098052,0.112196637,6.09771577,1.490113589,0.012876109,0.036487797,0.097105932,0.26041149,0.002848801,0.037809398,0.191588869,0.151935783,0.054666717
2016-02-24,3,257.1140694,81.89268735,135.6244012,0.003039929,0.269019678,1.264717694,0.653276233,0.014031891,0.029237403,0.147111124,0.280122145,0.002030171,0.020770242,0.239014438,0.22112689,0.0270326145
2016-02-27,6,106.3756582,31.4892822,62.39861567,0.001109077,0.0496926705,1.264717694,0.2926725665,0.036171959,0.014125452,0.138639012,0.146469106,0.001445868,0.034683817,0.425095975,0.055674377,0.0270326145
2016-03-01,2,142.3462382,39.05548379,94.63964027,0.000926283,0.0496926705,8.547245682,0.2926725665,0.003592617,0.007225441,0.077002984,0.117737705,0.0002219795,0.019102224,0.230978829,0.062363105,0.0270326145
