start day,start day of week,Wood ,Sea spray,No EC3,Sn,Sb,EC3,Shipping
8/2/2015,7,0,13.99375982,22.96179177,20.4225435,2.10395348,41.63587974,12.73590512
8/7/2015,5,1.63002063,10.49208434,3.472390173,3.40993735,0,55.84263048,1.024064548
8/10/2015,1,0,14.2035741,35.14498668,0,4.40539296,103.3249308,14.53397298
8/13/2015,4,1.51825228,13.09420774,22.23917466,10.39989915,2.47397988,78.56351958,3.937996104
8/16/2015,7,2.94473095,26.5054208,57.77108835,13.9092555,0.578862648,0,11.29334708
8/19/2015,3,5.27041127,16.3923116,0,16.3732345,0.216631748,47.19604617,5.03512528
8/22/2015,6,6.30822814,41.2046012,19.05011871,7.02502715,0.067068324,45.53149965,21.6629039
8/25/2015,2,3.20275296,37.0814004,7.05184782,4.98666895,0.311321088,118.5263079,10.2459982
8/28/2015,5,5.57819547,25.9953498,29.54426238,20.1001035,0.889955068,0,17.5926064
8/31/2015,1,0,5.09629446,0,0.4718372,0,57.09104037,12.99774234
9/3/2015,4,13.3998457,28.754301,16.5194865,6.46290675,1.259981468,28.90226976,3.64230293
9/6/2015,7,6.14838255,16.383176,0,0.383905125,0,162.8914287,2.263219228
9/9/2015,3,2.98382179,25.2416628,36.48009099,18.373706,0.112433977,164.745672,9.38688664
9/15/2015,2,1.032290234,13.51703376,0,1.9367896,1.010567044,57.00217341,2.4444088
9/18/2015,5,8.04001975,31.944148,0,0,1.89305922,75.99150468,7.35508334
9/24/2015,4,6.96187641,22.3091352,0,12.65187385,1.7274828,112.963578,4.010391642
9/27/2015,7,0.438244262,19.9354018,26.5548537,15.7686595,2.68456232,99.0781155,6.30327386
9/30/2015,3,1.37256027,2.39246138,0,10.197165,4.22453736,146.0579757,6.13243288
10/6/2015,2,7.87118776,0,7.03948029,6.6256046,4.00667912,200.2240968,7.22884836
10/9/2015,5,10.90960193,23.508944,264.4707951,12.2118776,3.63103996,29.27995434,5.7519437
10/12/2015,1,0.95660228,6.46693898,21.22091469,0,0.8694581,82.02847653,12.32151538
10/15/2015,4,5.79375674,4.03961006,0,0,0,62.99898423,0.564578142
10/24/2015,6,8.23749589,17.0546426,43.97304738,3.44970495,2.1286912,168.4627035,1.901821416
10/27/2015,2,3.42415539,0,0,11.41907825,4.3519678,164.7627618,2.550972534
11/5/2015,4,14.7478057,0.739313656,80.8954248,5.71403985,0.101763496,146.203239,1.007069662
11/11/2015,3,14.5512282,4.6599173,167.2502307,0,1.06496924,58.64108523,0.315609753
11/17/2015,2,29.0417982,7.71608002,33.68502921,13.21775605,0.318430584,246.2127486,2.279188176
11/23/2015,1,14.7084902,6.3104157,24.54189096,1.07780944,1.984671936,94.3869654,2.417555988
11/26/2015,4,34.8223,13.59894964,215.7603948,0,1.182483804,8.93027499,0
11/29/2015,7,57.9858693,11.18304022,0,2.0749014,0.66583964,108.1015299,0.610566928
12/2/2015,3,15.8969416,20.9920862,227.2150833,0,2.35673556,51.81969156,2.015254474
12/5/2015,6,34.2561568,24.2291338,62.4972516,0,1.55504634,157.5594111,0
12/8/2015,2,0.009808319,18.8406524,286.1375298,9.71122105,1.666241352,41.92384287,6.25331514
12/11/2015,5,26.453715,22.2710702,48.90769185,4.40600825,1.504884896,0,0
12/14/2015,1,13.659328,20.585552,253.4106897,0,0.956497456,38.22731913,0
12/17/2015,4,24.6249826,22.191895,160.4480892,2.66187655,1.422793084,7.418084037,0
12/20/2015,7,0,0,0,0,0,0,0
1/4/2016,1,5.94854748,0,31.81694325,4.2134847,4.91199652,98.4885174,4.56587016
1/7/2016,4,4.14868389,8.65202224,74.0343903,31.9497735,2.49892548,49.72020963,6.7198939
1/10/2016,7,26.9311175,31.4355996,161.9263035,9.0589518,1.79005468,50.66185761,1.078082414
1/13/2016,3,1.018439945,6.32853464,47.53136244,29.624175,2.57064408,140.2474437,1.913909642
1/16/2016,6,15.9811891,14.91371474,21.40466085,28.1503555,1.19094452,60.14669661,1.502820746
1/19/2016,2,6.08514076,0,40.91591175,30.755402,3.72708052,130.3439046,6.34029684
1/22/2016,5,15.2634004,22.4309432,22.11844401,23.736958,4.86688656,72.91704966,1.887993556
1/25/2016,1,22.3446836,10.69976698,48.18154116,0,1.176871044,171.1799817,1.247719032
1/31/2016,7,5.12415761,10.77985574,48.73101285,0,0.529200116,139.452768,0.181515196
2/3/2016,3,16.5057702,13.77237378,19.53009666,0,0.721717784,173.1111291,0.975622432
2/6/2016,6,37.3126561,26.1795844,345.7902495,17.2465095,3.66866624,0,0.717978176
2/9/2016,2,46.3215221,33.1530924,45.07199076,18.8855795,2.7315432,110.2377549,1.199946006
2/12/2016,5,36.3106725,27.7859274,495.9556209,2.90478135,2.67354468,55.16843787,0
2/15/2016,1,6.48413692,31.944148,65.0885436,8.5347181,2.51597164,51.54625476,8.2766433
2/18/2016,4,0,0,0,0,0,0,0
2/21/2016,7,18.5827519,24.9264846,47.25397641,19.2590725,3.7595098,128.8400022,4.297475858
