(L)Date&Time,Start day,OC,Py C,EC,Li ,Mg ,S ,K,V ,As,Se ,Br ,Rb ,Mo ,Sn ,Sb ,Pb 
blank DL,,24.39,4.977,6.24,0.000664572,0.099385341,2.529435388,0.585345133,0.001469652,0.002378422,0.003363,0.00500208,0.000443959,0.002563783,0.009393867,0.001007735,0.054065229
3/16/2016,3,126.4269969,13.14465197,48.58550325,0.000668611,0.019458509,7.674626473,0,0.008789023,0.006175599,0.066124598,0.175240381,0.000675996,0.030855279,0.191925453,0.095930844,0
3/19/2016,6,69.11551718,21.58311371,36.99962489,0.000334783,0,0,0,0.0045384,0.006309974,0.028479222,0.093217544,0.000631327,0.004982477,0.225000878,0.053129796,0
3/22/2016,2,144.3168013,35.60136286,69.33638375,0.001496271,0.042396855,4.735742199,0.474964056,0.002074789,0.01458792,0.063349712,0.186262042,0.001643638,0.019920642,0.126930681,0.306188025,0.004287464
3/25/2016,5,69.44283834,19.6137961,26.60908983,0.000974239,0.251909247,0,0.74189488,0.015584105,0.017591441,0.062407427,0.282694617,0.001623672,0.00078167,0.40734812,0.038801322,0.001422768
3/28/2016,1,67.30680819,21.94071669,27.22054866,0.000822579,0.235935151,0,0.756094329,0.004626637,0.015163352,0.02270278,0.163503431,0.001397498,0.012975865,0.086167888,0.299960442,0
3/31/2016,4,137.187498,47.92544117,66.17292617,0.001326099,0.162479671,5.19392749,1.96891397,0.020050251,0.024243633,0.056308227,0.325919153,0.003057363,0.032261441,0.204680942,0.340007614,0.007913083
4/9/2016,6,152.5329214,51.4826303,77.27889523,0.001604901,0.207017936,8.531459049,2.110679968,0.02168131,0.053210751,0.103344707,0.228463124,0.002628897,0.024355966,0.656113631,0.368028485,0.11111561
4/12/2016,2,43.30949957,14.97246359,22.51800718,0,0,0,0.361298833,0.000605309,0.001142049,0,0,0.000246116,0,0,1.35E-05,0.003785006
4/15/2016,5,212.2068292,83.79450771,66.71839674,0.002066016,0,0,0.133252194,0.000260935,0.000323521,0.003060269,0.001135662,0,0,0.001227477,0,0
4/18/2016,1,174.3902697,47.1411853,97.39381391,0.000212825,0.475521871,20.77683838,3.095797718,0.021532107,0.013652004,0.018198712,0.326517482,0.00313785,0.020319035,0.19137323,0.053529997,0.076706557
4/21/2016,4,118.2776413,39.68046573,34.17531783,0.003176883,0.31434294,14.86555678,2.784241002,0.015942149,0.032090425,0.041536321,0.316276289,0.00392048,0.036999131,0.094328972,0.150675779,0.168674215
4/24/2016,7,164.5369615,13.06785814,31.70543563,0.000212825,0.475521871,20.77683838,3.095797718,0.021532107,0.013652004,0.018198712,0.326517482,0.00313785,0.020319035,0.19137323,0.053529997,0.076706557
,,,,,,,,,,,,,,,,,
annual mean,,148.0978139,50.67854611,54.85075812,0.001419318,0.149867171,2.759029936,1.130392448,0.012818947,0.020804839,0.046088207,0.170939432,0.001879664,0.01929871,0.119870407,0.092653195,0.052293726
